AÑO,PERSONA,TIPO DE SERVICIO,NOMBRE DE LA TAREA,MODALIDAD,COMPLEJIDAD
2019,ID_279,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_187,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_280,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_281,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_282,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_283,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_284,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_285,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_286,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_287,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_288,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_289,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_290,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_291,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_292,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_293,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_294,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_295,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_33,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_296,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_297,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_298,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_22,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_37,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_34,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2020,ID_61,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
